Model,MAE,R^2 Score
Linear,0.6852784521674957,0.9703973266545679
Lasso,1.1209175798372666,0.9376608745831527
Lasso CV,0.6815210634135523,0.9703616658498144
Ridge,0.7126268400578171,0.9692051022118809
Ridge CV,0.7126268400578171,0.9692051022118809
ElasticNet,1.819355597900713,0.8575522912954434
ElasticNet CV,0.7921679514135512,0.965454054697123
